PLAYER_NAME,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
Davis Bertans,SAS,1631.708333,204,453,145,338,53,60,23,241,100,43,35,33,8,133,68,606,257
Patrick Beverley,LAC,2137.2216670000003,194,477,112,282,96,123,76,312,300,85,67,43,25,265,157,596,149
Khem Birch,ORL,642.8616667,91,151,0,1,58,83,79,111,38,20,18,29,12,72,67,240,44
Bismack Biyombo,CHA,782.4416667,89,156,0,0,58,91,81,166,33,34,11,41,23,103,82,236,-133
Nemanja Bjelica,SAC,1787.91,284,593,103,257,70,92,125,319,147,82,54,56,36,197,105,741,82
Antonio Blakeney,CHI,829.0366667000001,166,396,36,91,50,76,7,99,42,35,12,9,31,41,51,418,-148
Eric Bledsoe,MIL,2271.705,470,971,124,377,177,236,82,280,430,165,116,29,50,156,223,1241,561
Bogdan Bogdanovic,SAC,1947.17,361,863,134,372,134,162,40,203,267,117,72,15,39,142,185,990,-39
Bojan Bogdanovic,IND,2573.058333,522,1051,164,386,246,305,33,300,161,134,69,1,88,138,234,1454,177
Jonah Bolden,PHI,638.6716667000001,80,162,34,96,13,27,47,118,40,36,17,39,6,99,21,207,-29
Devin Booker,PHX,2242.118333,586,1255,135,414,393,454,39,226,433,264,56,13,76,200,391,1700,-331
Avery Bradley,LAC,1463.2,161,420,58,172,20,25,35,96,96,61,27,16,32,133,38,400,-65
Mikal Bridges,PHX,2417.115,242,563,105,313,95,118,56,208,173,70,129,38,32,201,105,684,-388
Miles Bridges,CHA,1696.3333329999998,237,511,65,200,58,77,67,256,95,50,55,49,33,111,62,597,-127
Ryan Broekhoff,DAL,453.58666669999997,57,126,38,93,15,19,8,55,22,16,6,4,5,35,18,167,70
Malcolm Brogdon,MIL,1831.5916670000001,378,748,104,244,141,152,65,223,205,91,46,13,60,102,113,1001,425
Bruce Brown,DET,1449.316667,125,314,24,93,45,60,48,137,91,46,40,36,39,178,55,319,-4
Jaylen Brown,BOS,1913.3516670000001,368,792,95,276,133,202,65,248,100,99,69,32,43,186,171,964,66
Sterling Brown,MIL,1034.363333,145,312,53,147,29,42,29,155,84,46,25,8,20,88,30,372,-1
Troy Brown Jr.,WAS,729.7366667,97,234,22,69,32,47,35,110,80,30,21,5,26,56,41,248,-1
Jalen Brunson,DAL,1591.258333,264,565,63,181,87,120,25,144,230,88,37,4,43,127,158,678,-83
Thomas Bryant,WAS,1496.343333,309,502,33,99,107,137,113,341,92,60,25,67,31,126,130,758,-107
Reggie Bullock,DET,1354.758333,182,441,114,294,56,64,20,103,109,54,24,5,21,79,56,534,11
Jimmy Butler,PHI,1823.743333,344,747,50,148,264,304,105,185,220,81,99,29,36,93,220,1002,221
Jose Calderon,DET,631.9633332999999,45,120,14,57,9,11,11,49,115,35,16,3,8,64,19,113,-172
Kentavious Caldwell-Pope,LAL,2035.135,325,756,151,435,137,158,48,190,110,65,73,13,18,137,147,938,-156
Clint Capela,HOU,2248.728333,474,732,0,0,166,261,298,550,96,94,44,102,62,168,224,1114,232
DeMarre Carroll,BKN,1703.4583329999998,227,575,106,310,184,242,68,281,85,73,31,10,33,114,162,744,49
Vince Carter,ATL,1330.356667,196,468,123,316,47,66,31,163,87,48,44,27,9,141,83,562,-179
Wendell Carter Jr.,CHI,1109.8,180,371,6,32,89,112,87,220,78,65,26,58,28,152,107,455,-292
Willie Cauley-Stein,SAC,2212.546667,412,741,1,2,140,254,181,497,194,84,96,51,74,227,216,965,54
Tyson Chandler,LAL,785.7366667,53,87,0,1,41,69,85,183,31,35,19,22,6,89,55,147,31
Gary Clark,HOU,640.6066667,50,151,41,138,7,7,24,92,18,7,20,26,3,47,18,148,26
Ian Clark,NOP,972.5783332999998,151,383,66,202,33,37,13,76,94,58,22,8,21,95,39,401,-55
Jordan Clarkson,CLE,2214.48,529,1180,144,445,162,192,82,188,196,135,57,13,55,112,168,1364,-350
John Collins,ATL,1828.401667,465,831,55,158,203,266,219,376,121,120,22,39,65,199,230,1188,-76
Zach Collins,POR,1355.736667,189,400,40,121,94,126,109,215,71,77,25,66,29,174,126,512,-11
Darren Collison,IND,2143.178333,308,659,79,194,158,190,36,196,459,125,110,9,33,138,156,853,118
Mike Conley,MEM,2341.8,490,1120,155,426,343,406,40,199,449,130,94,22,44,123,369,1478,23
Pat Connaughton,MIL,1261.173333,163,350,66,200,29,40,61,197,122,33,33,25,19,81,37,421,118
Quinn Cook,GSW,1058.901667,204,439,81,200,20,26,22,135,116,50,20,3,19,92,28,509,-133
Allen Crabbe,BKN,1133.088333,137,373,98,259,41,56,16,132,46,46,23,13,10,102,39,413,4
Torrey Craig,DEN,1503.015,160,362,61,188,49,70,89,174,72,44,37,46,15,175,61,430,72
Jamal Crawford,PHX,1210.911667,174,438,67,202,93,110,8,77,229,99,33,12,8,75,91,508,-377
Jae Crowder,UTA,2165.731667,318,797,173,522,142,197,60,324,133,85,64,31,27,170,170,951,227
Dante Cunningham,SAS,928.46,75,158,30,65,14,18,48,140,50,22,27,13,8,71,17,194,-172
Seth Curry,POR,1399.391667,212,465,113,251,44,52,27,93,66,61,36,12,15,97,78,581,132
Stephen Curry,GSW,2331.166667,632,1340,354,810,263,287,45,324,361,192,92,25,36,166,249,1881,689
Troy Daniels,PHX,759.73,113,275,74,194,18,23,13,60,26,27,26,5,6,79,31,318,-113
Anthony Davis,NOP,1849.8833329999998,530,1026,48,145,344,433,174,498,218,112,88,135,40,132,368,1452,133
Ed Davis,BKN,1446.011667,186,302,0,2,100,162,216,478,61,64,35,33,24,226,144,472,94
DeMar DeRozan,SAS,2688.156667,631,1313,7,45,366,441,54,408,475,199,86,36,98,177,380,1635,10
Dewayne Dedmon,ATL,1609.206667,259,526,83,217,92,113,105,375,90,84,69,71,25,214,100,693,-173
Cheick Diallo,NOP,895.645,168,271,1,4,50,67,75,257,33,49,29,33,20,113,62,387,-88
Hamidou Diallo,OKC,526.28,75,165,4,24,36,59,38,59,17,23,21,10,13,77,51,190,-76
Gorgui Dieng,MIN,1031.221667,189,377,19,56,88,106,81,230,72,57,48,41,21,134,104,485,-117
Spencer Dinwiddie,BKN,1914.0033329999999,366,828,124,370,287,356,26,140,311,152,40,17,36,187,284,1143,-84
Luka Doncic,DAL,2317.74,506,1186,168,514,346,485,86,477,429,247,77,25,52,137,404,1526,-118
Damyean Dotson,NYK,2003.805,290,698,126,342,73,98,34,228,135,71,58,10,16,135,86,779,-327
Andre Drummond,DET,2646.89,561,1052,5,38,243,412,423,809,112,175,136,138,90,272,325,1370,176
Jared Dudley,BKN,1219.648333,101,239,53,151,32,46,34,121,83,43,36,16,11,131,72,287,35
Kris Dunn,CHI,1389.353333,215,506,34,96,55,69,19,168,277,104,68,21,29,166,81,519,-223
Kevin Durant,GSW,2701.531667,721,1383,137,388,448,506,33,464,457,225,58,84,38,155,381,2027,657
Joel Embiid,PHI,2154.305,580,1199,79,263,522,649,160,711,234,226,46,122,76,211,493,1761,373
Tyreke Evans,IND,1401.983333,257,660,77,216,115,160,33,168,166,118,58,18,53,117,130,706,64
Dante Exum,UTA,664.0483333,101,241,18,62,68,86,16,52,110,52,14,5,19,69,75,288,48
Derrick Favors,UTA,1766.4716670000003,363,619,17,78,154,228,207,353,89,84,56,106,41,163,176,897,186
Cristiano Felicio,CHI,746.3966667000001,95,179,0,4,50,73,79,139,37,33,11,7,24,69,67,240,-130
Terrance Ferguson,OKC,1931.078333,185,431,106,290,37,51,33,108,72,47,40,16,13,231,60,513,141
Yogi Ferrell,SAC,1066.648333,153,352,54,149,60,67,13,96,137,40,36,4,20,64,89,420,-55
Dorian Finney-Smith,DAL,1985.2833329999999,228,528,79,254,73,103,138,251,95,74,69,36,32,186,92,608,-88
Bryn Forbes,SAS,2292.6,361,791,176,413,69,78,18,221,175,80,45,4,36,159,80,967,-8
Evan Fournier,ORL,2553.281667,468,1069,153,450,137,170,38,220,295,154,71,12,47,225,168,1226,95
De'Aaron Fox,SAC,2545.843333,505,1102,86,232,303,417,43,261,590,227,133,45,80,204,375,1399,68
Tim Frazier,NOP,908.95,88,195,27,77,32,41,32,105,206,60,25,4,12,93,60,235,-27
Danilo Gallinari,LAC,2059.211667,409,884,161,372,367,406,54,363,178,99,49,23,41,129,334,1346,105
Langston Galloway,DET,1745.171667,228,587,135,380,81,96,49,122,85,24,37,8,26,135,79,672,37
Marc Gasol,MEM,1788.43,303,683,76,221,152,201,56,399,248,119,60,63,27,147,218,834,-49
Rudy Gay,SAS,1842.2933329999998,376,746,74,184,120,147,63,407,182,114,54,34,35,159,135,946,161
Paul George,OKC,2841.3066670000003,707,1614,292,757,453,540,105,523,318,205,170,34,77,214,420,2159,496
Taj Gibson,MIN,1686.35,304,537,11,34,134,177,172,286,84,73,53,39,54,186,156,753,-81
Harry Giles III,SAC,819.99,175,348,0,6,58,91,66,156,85,73,31,22,12,150,99,408,-106
Shai Gilgeous-Alexander,LAC,2173.906667,341,716,51,139,156,195,57,175,270,141,96,45,67,175,180,889,-110
Rudy Gobert,UTA,2576.6866670000004,476,712,0,0,332,522,309,732,161,130,66,187,56,231,468,1284,384
Aaron Gordon,ORL,2632.533333,470,1046,121,347,185,253,129,445,289,162,57,56,52,172,262,1246,107
Eric Gordon,HOU,2158.01,384,938,216,600,119,152,17,131,129,90,41,27,67,143,126,1103,348
Marcin Gortat,LAC,750.4816667,99,186,0,0,35,48,67,194,65,50,6,24,16,92,65,233,-98
Devonte' Graham,CHA,676.095,74,216,34,121,35,46,10,53,121,30,23,2,12,48,50,217,-100
Jerami Grant,OKC,2612.26,409,823,115,293,157,221,96,321,79,67,61,100,63,214,212,1090,300
Jerian Grant,ORL,938.7733332999999,92,220,40,110,26,40,19,79,156,51,44,6,8,78,62,250,-148
Danny Green,TOR,2215.465,293,630,198,435,37,44,60,257,126,75,73,53,17,171,66,821,638
Draymond Green,GSW,2064.6933329999997,188,422,47,165,63,91,60,421,454,169,95,70,17,197,125,486,462
Gerald Green,HOU,1472.981667,231,578,156,441,57,68,30,152,40,55,33,27,13,126,49,675,131
Jeff Green,WAS,2096.6883329999996,326,687,111,320,183,206,57,252,137,101,43,39,25,160,173,946,-94
Blake Griffin,DET,2622.333333,619,1341,189,522,414,550,100,465,402,253,52,28,72,199,573,1841,37
Tim Hardaway Jr.,NYK,1499.125,282,726,117,337,199,233,26,135,122,81,42,6,46,106,191,880,-329
James Harden,HOU,2866.725,843,1909,378,1028,754,858,66,452,586,387,158,58,112,244,564,2818,357
Maurice Harkless,POR,1415.13,189,388,33,120,49,73,77,192,74,45,67,53,21,163,58,460,237
Montrezl Harrell,LAC,2158.1483329999996,546,888,3,17,266,414,184,351,162,132,71,110,72,255,361,1361,59
Devin Harris,DAL,1070.59,132,347,62,200,102,134,12,100,122,56,35,16,19,133,126,428,-94
Gary Harris,DEN,1639.2433330000001,270,637,82,242,115,144,41,119,127,68,55,19,42,113,122,737,226
Joe Harris,BKN,2293.521667,374,748,183,386,110,133,52,239,181,121,38,17,67,182,121,1041,-78
Tobias Harris,LAC,1903.6466670000002,424,855,112,258,192,219,37,395,150,109,40,24,42,123,154,1152,15
Shaquille Harrison,CHI,1429.97,184,426,24,89,82,123,33,189,139,60,89,30,41,124,116,474,-316
Josh Hart,LAL,1714.815,189,464,92,274,55,80,35,213,93,58,64,40,31,147,87,525,0
Gordon Hayward,BOS,1863.338333,296,635,77,231,156,187,51,271,244,105,62,23,27,104,182,825,213
Juancho Hernangomez,DEN,1358.156667,138,314,66,181,66,86,64,201,55,37,27,24,15,94,74,408,36
Willy Hernangomez,CHA,811.8533332999999,153,295,15,39,100,144,117,194,60,58,16,20,31,98,110,421,-94
Mario Hezonja,NYK,1206.27,191,464,42,152,87,114,28,211,88,88,57,8,29,110,102,511,-262
Buddy Hield,SAC,2614.8583329999997,623,1360,278,651,171,193,106,306,205,146,58,33,54,202,144,1695,0
Nene,HOU,545.7833333,60,116,0,3,31,47,34,89,26,11,18,15,9,87,52,151,101
George Hill,MIL,958.15,115,269,35,125,53,65,27,94,99,31,40,7,12,67,68,318,189
Solomon Hill,NOP,878.525,68,178,32,101,23,32,34,99,55,31,23,10,9,80,37,191,-127
Aaron Holiday,IND,645.83,105,262,43,127,41,50,5,62,87,40,21,13,12,71,58,294,102
Jrue Holiday,NOP,2401.928333,547,1159,118,363,208,271,75,259,518,210,109,54,65,148,241,1420,231
Justin Holiday,MEM,1281.981667,149,383,65,195,54,60,27,127,61,57,54,15,16,85,53,417,-137
Rondae Hollis-Jefferson,BKN,1233.963333,200,487,9,49,118,183,83,227,96,68,44,27,46,107,161,527,-10
Richaun Holmes,PHX,1183.688333,222,365,0,0,128,175,115,216,60,52,42,79,29,194,151,572,-172
Rodney Hood,CLE,1233.913333,194,454,55,152,104,114,18,94,92,36,38,5,11,101,80,547,-302
Al Horford,BOS,1972.6833329999997,387,723,73,203,78,95,120,338,283,102,59,86,29,126,121,925,258
Kevin Huerter,ATL,2048.53,275,657,136,353,41,56,60,185,214,109,65,25,29,155,59,727,-119
Chandler Hutchison,CHI,894.615,96,209,14,50,23,38,31,154,34,25,23,6,11,59,46,229,-115
Serge Ibaka,TOR,2010.358333,464,877,49,169,135,177,156,445,99,113,29,103,30,211,154,1112,257
Andre Iguodala,GSW,1577.88,151,302,48,144,39,67,48,204,216,52,61,51,4,95,82,389,315
Ersan Ilyasova,MIL,1231.313333,167,381,58,160,61,74,94,208,52,48,32,20,20,172,114,453,239
Joe Ingles,UTA,2567.566667,359,802,189,483,87,123,35,295,469,193,98,20,31,180,172,994,428
Brandon Ingram,LAL,1760.493333,362,729,31,94,195,289,41,226,154,129,28,31,50,149,266,950,-59
Kyrie Irving,BOS,2213.8466670000003,604,1241,174,434,214,245,71,264,464,172,103,34,45,167,243,1596,332
Jonathan Isaac,ORL,1996.1833329999997,262,611,86,266,110,135,99,312,80,75,59,98,28,143,132,720,8
Wes Iwundu,ORL,1233.2,113,274,29,79,84,103,37,147,73,44,28,22,25,123,76,339,34
