PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_TYPE,SHOT_DISTANCE,SHOT_MADE_FLAG,YEAR,MONTH,DAY,HOME,Above the Break 3,Backcourt,In The Paint (Non-RA),Left Corner 3,Mid-Range,Restricted Area,Right Corner 3,Back Court(BC),Center(C),Left Side Center(LC),Left Side(L),Right Side Center(RC),Right Side(R),Driving Layup Shot,Jump Shot,Layup Shot,Pullup Jump shot,Step Back Jump shot,LOC_RATIO
2,1,29,1,27,1,2009,11,20,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.1520792180043808
3,10,11,0,19,0,2009,11,20,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.3028806322009705
3,7,34,0,19,1,2009,11,20,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.585838091756142
3,1,37,0,16,0,2009,11,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3.1036127719645563
1,10,14,1,24,0,2009,11,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6045294282515384
2,10,2,0,0,1,2009,11,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.00248243569191573
2,7,16,0,16,0,2009,11,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.7415603745789578
2,4,28,1,25,1,2009,11,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.349042945353142
2,2,29,0,19,0,2009,11,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.42373126644474923
2,1,59,1,22,0,2009,11,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.475702567076622
3,2,6,0,17,0,2009,11,24,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2.599480871772529
4,4,1,0,0,0,2009,11,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
